Pergunta;Documento_sugerido
Quais benefícios corporativos são oferecidos pela Unimed Blumenau?;DIR-324 - Diretriz de Benefícios
Quais benefícios se aplicam também aos cooperados (não colaboradores CLT)?;DIR-324 - Diretriz de Benefícios
Qual é o limite máximo de descontos em folha para aquisição de benefícios?;DIR-324 - Diretriz de Benefícios
Como o colaborador deve solicitar inclusão ou exclusão de vale-transporte?;DIR-324 - Diretriz de Benefícios
Há isenção do desconto de 6% de vale-transporte para aprendizes e estagiários?;DIR-324 - Diretriz de Benefícios
Como é tratada a recarga do vale-transporte quando há saldo remanescente?;DIR-324 - Diretriz de Benefícios
Em que situações o vale-transporte pode ser cancelado por uso indevido?;DIR-324 - Diretriz de Benefícios
Como funciona o transporte fretado para colaboradores de Indaial?;DIR-324 - Diretriz de Benefícios
Como é feito o desconto proporcional do vale-transporte na rescisão?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para colaboradores ativos até 30/08/2024?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para aprendizes e estagiários ativos até 30/08/2024?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para admissões a partir de 01/09/2024 sem refeitório próprio?;DIR-324 - Diretriz de Benefícios
Existe desconto simbólico no vale-refeição? Em que base legal?;DIR-324 - Diretriz de Benefícios
O que acontece com o vale-refeição para quem é transferido para unidade com refeitório próprio?;DIR-324 - Diretriz de Benefícios
Como é o processo para escolher e trocar benefícios respeitando o limite de 30%?;DIR-324 - Diretriz de Benefícios
Quais são as regras de elegibilidade para cada benefício listado?;DIR-324 - Diretriz de Benefícios
Quais prazos devem ser observados para a solicitação de benefícios no Painel de Gestão?;DIR-324 - Diretriz de Benefícios
Como fica o benefício de vale-refeição durante férias e licença maternidade até 30/06/2025?;DIR-324 - Diretriz de Benefícios
Quais regras específicas existem para o Plano Celular corporativo?;DIR-324 - Diretriz de Benefícios
Como funciona o subsídio ao Clube Ipiranga e quem pode aderir?;DIR-324 - Diretriz de Benefícios
Quais as condições para o benefício de Vacinas para colaboradores/cooperados?;DIR-324 - Diretriz de Benefícios
Quais as alterações trazidas pelo ACT 2024/2025 que impactam benefícios?;DIR-324 - Diretriz de Benefícios
Quais benefícios têm coparticipação ou valores fixos mensais?;DIR-324 - Diretriz de Benefícios
Quais documentos o colaborador deve manter para auditorias de benefícios?;DIR-324 - Diretriz de Benefícios
Há carência para acesso a planos de saúde e odontológico para novos colaboradores?;DIR-324 - Diretriz de Benefícios
Como é o processo para exclusão de benefícios quando o limite de 30% é atingido?;DIR-324 - Diretriz de Benefícios
Quais controles internos monitoram saldos de vale-transporte dos colaboradores?;DIR-324 - Diretriz de Benefícios
Quais são as consequências para declaração falsa de uso de vale-transporte?;DIR-324 - Diretriz de Benefícios
Como é feita a gestão de solicitações de benefícios pelos colaboradores do Hospital Unimed?;DIR-324 - Diretriz de Benefícios
Qual a política para colaboradores transferidos entre unidades no tocante a benefícios?;DIR-324 - Diretriz de Benefícios
Como é definido o público-alvo de cada benefício (perfil, contexto familiar, custo)?;DIR-324 - Diretriz de Benefícios
Quais indicadores monitoram a efetividade dos benefícios na retenção de talentos?;DIR-324 - Diretriz de Benefícios
Há política de reembolso home office e quais cargos podem solicitar?;DIR-324 - Diretriz de Benefícios
Como são comunicadas revisões de benefícios e com que frequência ocorrem?;DIR-324 - Diretriz de Benefícios
Quais canais oficiais para dúvidas sobre benefícios corporativos?;DIR-324 - Diretriz de Benefícios
Como lidar com conflitos entre diretrizes de benefícios e ACT/CLT?;DIR-324 - Diretriz de Benefícios
Quais os prazos para efetivação de mudanças solicitadas nos benefícios?;DIR-324 - Diretriz de Benefícios
Qual é o procedimento para contestar valores descontados de benefícios?;DIR-324 - Diretriz de Benefícios
Há política específica para benefícios durante afastamentos por saúde?;DIR-324 - Diretriz de Benefícios
Como é tratada a adesão a benefícios por colaboradores em jornada parcial?;DIR-324 - Diretriz de Benefícios
Qual é o prazo para o beneficiário solicitar reanálise de uma autorização após a resposta inicial?;DIR-086 - Reanálise de Autorizações
Quais canais oficiais podem receber o pedido de reanálise (Ouvidoria, SAC, presencial)?;DIR-086 - Reanálise de Autorizações
Quem pode abrir o pedido de reanálise em nome do beneficiário?;DIR-086 - Reanálise de Autorizações
O que acontece se o pedido de reanálise for feito após o prazo de 2 dias úteis?;DIR-086 - Reanálise de Autorizações
Qual é o papel da Ouvidoria no processo de reanálise segundo a RN 623/24?;DIR-086 - Reanálise de Autorizações
Que informações a operadora deve fornecer no ato da resposta para viabilizar a reanálise?;DIR-086 - Reanálise de Autorizações
Como o sistema de Ouvidoria encaminha a reanálise ao analista responsável?;DIR-086 - Reanálise de Autorizações
Como localizar no Tasy a requisição para reanalisar uma autorização?;DIR-086 - Reanálise de Autorizações
Em que situações a liberação manual da requisição é aplicável?;DIR-086 - Reanálise de Autorizações
O que deve constar no histórico quando a autorização é liberada manualmente na reanálise?;DIR-086 - Reanálise de Autorizações
Quando a negativa for mantida, como elaborar a resposta conforme a RN 623?;DIR-086 - Reanálise de Autorizações
Quais situações motivam a instauração de junta médica no contexto da reanálise?;DIR-086 - Reanálise de Autorizações
Como comprovar a tempestividade do pedido de reanálise do beneficiário?;DIR-086 - Reanálise de Autorizações
Quais são os critérios para classificar uma reanálise como nova solicitação fora do prazo?;DIR-086 - Reanálise de Autorizações
Quais são os erros comuns que impedem ou restringem o direito de reanálise?;DIR-086 - Reanálise de Autorizações
Como registrar no fluxo a origem do pedido (site, SAC, atendimento presencial)?;DIR-086 - Reanálise de Autorizações
Qual é o procedimento de autenticação do solicitante ou representante legal?;DIR-086 - Reanálise de Autorizações
Há SLA interno para conclusão da reanálise e comunicação ao beneficiário?;DIR-086 - Reanálise de Autorizações
Como evidenciar conformidade com a RN 323/2013 na atuação da Ouvidoria?;DIR-086 - Reanálise de Autorizações
Quais indicadores monitoram volume e desfecho das reanálises?;DIR-086 - Reanálise de Autorizações
Quais são as modalidades de reembolso disponíveis para cooperados?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quando se aplica o reembolso via plano de saúde (UNIFLEX NACIONAL - PLAC)?;DIR-301 - Autorizações e Reembolsos para Cooperados
Em quais capítulos dos produtos 5250 e 4140 estão as regras de reembolso/cobertura?;DIR-301 - Autorizações e Reembolsos para Cooperados
Em que casos o reembolso via plano não é devido ao cooperado?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como funciona o reembolso pela Cooperativa fora das regras do plano?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como é calculado o valor máximo de reembolso ao cooperado pela Cooperativa?;DIR-301 - Autorizações e Reembolsos para Cooperados
O benefício de reembolso pela Cooperativa se estende aos dependentes do cooperado?;DIR-301 - Autorizações e Reembolsos para Cooperados
Qual é a base legal/comunicacional para registrar o aceite do cooperado nessa modalidade?;DIR-301 - Autorizações e Reembolsos para Cooperados
Por que é necessário o aceite gravado do cooperado para a modalidade da Cooperativa?;DIR-301 - Autorizações e Reembolsos para Cooperados
Em caso de não cobertura pelo plano, como ocorre a avaliação pela Diretoria Executiva?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quais áreas são responsáveis por cada etapa (Relacionamento, Autorização, Financeiro)?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quais documentos complementares devem ser consultados (FLU-392, MAN-297, FOR-1179)?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como tratar solicitações de autorização de cooperados sem cobertura contratual?;DIR-301 - Autorizações e Reembolsos para Cooperados
Há limites ou exclusões específicas para reembolsos via Cooperativa?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como é comunicado ao cooperado o valor que seria pago na rede direta?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quais prazos para depósito dos valores reembolsados ao cooperado?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como proceder se o cooperado pleitear ressarcimento integral com base no PLAC?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quais registros sistêmicos devem ser mantidos para auditoria desses reembolsos?;DIR-301 - Autorizações e Reembolsos para Cooperados
Como alinhar esse benefício com diretrizes de compliance e LGPD?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quais indicadores avaliam custo e efetividade do benefício aos cooperados?;DIR-301 - Autorizações e Reembolsos para Cooperados
Quem pode solicitar reembolso: apenas beneficiários Unimed Blumenau ou também intercâmbio?;MAN-297 - Manual de Reembolso
Quais canais estão disponíveis para solicitar reembolso (APP, WhatsApp, presencial)?;MAN-297 - Manual de Reembolso
Quais documentos são obrigatórios para o pedido de reembolso?;MAN-297 - Manual de Reembolso
Quais requisitos adicionais existem quando o recibo é emitido por pessoa física?;MAN-297 - Manual de Reembolso
Como validar especialização para terapias especiais (ex.: ABA)?;MAN-297 - Manual de Reembolso
Como registrar o reembolso no Tasy via OPS-Controle de Reembolsos?;MAN-297 - Manual de Reembolso
Como preencher os campos Data do Protocolo e Mês Referência?;MAN-297 - Manual de Reembolso
Quando usar Guia de Consulta e quando usar SP-SADT ou Internação?;MAN-297 - Manual de Reembolso
Como informar Operadora Congênere quando o atendimento ocorreu fora da área de ação?;MAN-297 - Manual de Reembolso
Quem é o responsável crédito e como cadastrar dados bancários?;MAN-297 - Manual de Reembolso
Qual condição padrão de pagamento e prazos para crédito (ex.: 30 dias)?;MAN-297 - Manual de Reembolso
Como escolher corretamente o Motivo Reembolso e registrar observações do canal de entrada?;MAN-297 - Manual de Reembolso
Como anexar documentos (nota, recibo, laudo) no processo de reembolso?;MAN-297 - Manual de Reembolso
Quais são os critérios de análise e validação de documentos de reembolso?;MAN-297 - Manual de Reembolso
Como proceder em caso de reembolso negado e comunicação ao beneficiário?;MAN-297 - Manual de Reembolso
Como garantir conformidade com LGPD no tratamento de dados do reembolso?;MAN-297 - Manual de Reembolso
Como tratar reembolso de beneficiários em intercâmbio com senha/liberação da origem?;MAN-297 - Manual de Reembolso
Quais interfaces com o FLU-392 e FOR-1179 devem ser observadas?;MAN-297 - Manual de Reembolso
Quais indicadores monitoram volume, tempo de ciclo e taxa de negativa?;MAN-297 - Manual de Reembolso
Quais são os erros mais comuns que levam à negativa do reembolso?;MAN-297 - Manual de Reembolso
O que é o Intercâmbio no Sistema Unimed e quais seus objetivos?;MAN-299 - Manual de Análise do Intercâmbio
Quais são os arquivos A500, A550 e A560 e para que servem?;MAN-299 - Manual de Análise do Intercâmbio
Qual é o papel do Webstart/Nova CMB na validação e envio de arquivos?;MAN-299 - Manual de Análise do Intercâmbio
Como acessar o GIU para visualizar arquivos a baixar automaticamente?;MAN-299 - Manual de Análise do Intercâmbio
Como é feito o processamento automático do A500 para o Tasy?;MAN-299 - Manual de Análise do Intercâmbio
Qual o fluxo de análise de faturas no AJIUS e estados possíveis (aberto, análise, finalizado)?;MAN-299 - Manual de Análise do Intercâmbio
Como enviar faturas para rediscussão e Câmara Técnica no AJIUS?;MAN-299 - Manual de Análise do Intercâmbio
Como baixar e tratar arquivos NDC (Notas de Débito/Crédito)?;MAN-299 - Manual de Análise do Intercâmbio
Como tratar contestações no Tasy após negociação no AJIUS?;MAN-299 - Manual de Análise do Intercâmbio
Como proceder com reapresentação de conta para cobrança (AJIUS/Tasy)?;MAN-299 - Manual de Análise do Intercâmbio
O que é a taxa de custeio administrativo e como ela é aplicada?;MAN-299 - Manual de Análise do Intercâmbio
Quais percentuais de taxa se aplicam a estadual, nacional, federação SC e fundações?;MAN-299 - Manual de Análise do Intercâmbio
Como garantir a conformidade com o Manual de Intercâmbio Nacional nas análises?;MAN-299 - Manual de Análise do Intercâmbio
Quais são os principais indicadores do processo de intercâmbio?;MAN-299 - Manual de Análise do Intercâmbio
Quais documentos de apoio devem ser consultados (MIN, Atas, ROL, CNA/Conenfa)?;MAN-299 - Manual de Análise do Intercâmbio
Como registrar o histórico de negociações para transparência no AJIUS?;MAN-299 - Manual de Análise do Intercâmbio
Quais são os erros comuns nos arquivos que geram rejeição na validação?;MAN-299 - Manual de Análise do Intercâmbio
Como funciona a integração entre AJIUS, Tasy e demais sistemas envolvidos?;MAN-299 - Manual de Análise do Intercâmbio
Quais controles internos evitam retrabalho nas contestações?;MAN-299 - Manual de Análise do Intercâmbio
Como é definida a classificação no Ranking de Intercâmbio que impacta a taxa?;MAN-299 - Manual de Análise do Intercâmbio
Qual é o papel do Manual de Intercâmbio Nacional dentro da Norma Derivada nº 006?;DE-041 - Manual de Intercâmbio Nacional
Quais coberturas nacionais o MIN garante (urgência/emergência, eletivos)?;DE-041 - Manual de Intercâmbio Nacional
Quais são os objetivos centrais do MIN no suporte ao cooperado e beneficiário?;DE-041 - Manual de Intercâmbio Nacional
Como o MIN se atualiza frente às mudanças regulatórias e de mercado?;DE-041 - Manual de Intercâmbio Nacional
Quais instâncias do Sistema Unimed deliberam alterações do MIN?;DE-041 - Manual de Intercâmbio Nacional
Como o Comitê Nacional de Intercâmbio mantém o MIN atualizado?;DE-041 - Manual de Intercâmbio Nacional
Quais penalidades são previstas para descumprimento das normas de intercâmbio?;DE-041 - Manual de Intercâmbio Nacional
Em que situações contratos/regras locais não se sobrepõem ao MIN?;DE-041 - Manual de Intercâmbio Nacional
Qual é a abrangência do MIN para singulares, federações e confederações?;DE-041 - Manual de Intercâmbio Nacional
Quais são as diretrizes gerais para atendimento no intercâmbio?;DE-041 - Manual de Intercâmbio Nacional
Como o MIN aborda a conformidade com LGPD no intercâmbio?;DE-041 - Manual de Intercâmbio Nacional
Quais são os processos financeiros no descumprimento de regras?;DE-041 - Manual de Intercâmbio Nacional
Como funcionam as regras para contestação/glosa no intercâmbio?;DE-041 - Manual de Intercâmbio Nacional
Quais procedimentos se aplicam a rede própria e credenciada no sistema Unimed?;DE-041 - Manual de Intercâmbio Nacional
Como o MIN orienta documentos fiscais, critérios e prazos?;DE-041 - Manual de Intercâmbio Nacional
Quais são as regras para pacotes de atendimento e cobrança?;DE-041 - Manual de Intercâmbio Nacional
Como é estruturada a Câmara Nacional de Compensação e Liquidação?;DE-041 - Manual de Intercâmbio Nacional
Quais são as diretrizes para Singular Operadora e Não Operadora?;DE-041 - Manual de Intercâmbio Nacional
Quais são as Normas Derivadas relacionadas e como se conectam ao MIN?;DE-041 - Manual de Intercâmbio Nacional
Quais responsabilidades do Comitê frente a irregularidades de marca Unimed?;DE-041 - Manual de Intercâmbio Nacional
Quais são os objetivos da auditoria retrospectiva em oncologia?;MAN-347 - Auditoria Retrospectiva Oncologia
Como selecionar prestadores e especialidades no Tasy para análise de oncologia?;MAN-347 - Auditoria Retrospectiva Oncologia
Quais abas (taxas, medicamentos, materiais) devem ser avaliadas na auditoria?;MAN-347 - Auditoria Retrospectiva Oncologia
Como verificar a conformidade entre autorização e quantidade administrada?;MAN-347 - Auditoria Retrospectiva Oncologia
Como validar unidade de medida dos itens conforme TNUMM?;MAN-347 - Auditoria Retrospectiva Oncologia
Como usar a tabela de estabilidade de antineoplásicos e imunobiológicos?;MAN-347 - Auditoria Retrospectiva Oncologia
Quando é permitido pagar medicamentos de forma fracionada por estabilidade?;MAN-347 - Auditoria Retrospectiva Oncologia
Como acessar a autorização via chamada externa em OPS-Requisições para Autorização?;MAN-347 - Auditoria Retrospectiva Oncologia
Quais evidências devem ser registradas na auditoria farmacêutica?;MAN-347 - Auditoria Retrospectiva Oncologia
Quais indicadores avaliam a qualidade e pertinência das cobranças auditadas?;MAN-347 - Auditoria Retrospectiva Oncologia
Como orientar prestadores sobre uso padronizado de antineoplásicos?;MAN-347 - Auditoria Retrospectiva Oncologia
Quais negociações influenciam a avaliação de pertinência das taxas cobradas?;MAN-347 - Auditoria Retrospectiva Oncologia
Pergunta adicional 1: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 2: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 3: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 4: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 5: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 6: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 7: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 8: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 9: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 10: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 11: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 12: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 13: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 14: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 15: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 16: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 17: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 18: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 19: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 20: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 21: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 22: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 23: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 24: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 25: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 26: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 27: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 28: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 29: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 30: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 31: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 32: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 33: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 34: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 35: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 36: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 37: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 38: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 39: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 40: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 41: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 42: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
Pergunta adicional 43: detalhe específico a ser verificado no DIR-324?;DIR-324 - Diretriz de Benefícios
Pergunta adicional 44: detalhe específico a ser verificado no MAN-297?;MAN-297 - Manual de Reembolso
Pergunta adicional 45: detalhe específico a ser verificado no MAN-299?;MAN-299 - Manual de Análise do Intercâmbio
Pergunta adicional 46: detalhe específico a ser verificado no DE-041?;DE-041 - Manual de Intercâmbio Nacional
Pergunta adicional 47: detalhe específico a ser verificado no DIR-086?;DIR-086 - Reanálise de Autorizações
Pergunta adicional 48: detalhe específico a ser verificado no DIR-301?;DIR-301 - Autorizações e Reembolsos para Cooperados
